Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
267.458570	1.72000000	1.54260750	0.648253038	2385.19780	3500.19303	40.1283290	10.0543423	14.2232228	1262.68839	-0.244497202	8.27064557	0.172726337	supercritical
268.101975	1.72000000	1.53892535	0.649804100	2391.68234	3509.34539	40.1625077	10.0579576	14.2265518	1264.11017	-0.245982653	8.28429200	0.173052820	supercritical
268.745380	1.72000000	1.53526085	0.651355109	2398.16910	3518.49989	40.1966123	10.0615391	14.2298491	1265.53066	-0.247459693	8.29792859	0.173378850	supercritical
269.388785	1.72000000	1.53161389	0.652906066	2404.65807	3527.65650	40.2306433	10.0650869	14.2331151	1266.94987	-0.248928397	8.31155536	0.173704430	supercritical
270.032190	1.72000000	1.52798434	0.654456971	2411.14921	3536.81520	40.2646008	10.0686015	14.2363499	1268.36778	-0.250388836	8.32517234	0.174029561	supercritical
270.675595	1.72000000	1.52437206	0.656007825	2417.64251	3545.97597	40.2984852	10.0720829	14.2395538	1269.78441	-0.251841083	8.33877958	0.174354246	supercritical
271.319000	1.72000000	1.52077694	0.657558628	2424.13795	3555.13879	40.3322967	10.0755315	14.2427271	1271.19977	-0.253285207	8.35237711	0.174678485	supercritical
271.962405	1.72000000	1.51719886	0.659109380	2430.63551	3564.30365	40.3660356	10.0789476	14.2458699	1272.61385	-0.254721279	8.36596495	0.175002282	supercritical
272.605810	1.72000000	1.51363769	0.660660083	2437.13517	3573.47051	40.3997022	10.0823313	14.2489824	1274.02665	-0.256149368	8.37954315	0.175325638	supercritical
273.249215	1.72000000	1.51009331	0.662210735	2443.63691	3582.63937	40.4332967	10.0856830	14.2520650	1275.43818	-0.257569541	8.39311172	0.175648554	supercritical
273.892620	1.72000000	1.50656560	0.663761338	2450.14071	3591.81021	40.4668194	10.0890028	14.2551179	1276.84845	-0.258981866	8.40667072	0.175971032	supercritical
274.536025	1.72000000	1.50305445	0.665311893	2456.64654	3600.98300	40.5002706	10.0922910	14.2581411	1278.25746	-0.260386410	8.42022016	0.176293075	supercritical
275.179430	1.72000000	1.49955973	0.666862398	2463.15440	3610.15772	40.5336505	10.0955479	14.2611351	1279.66520	-0.261783238	8.43376008	0.176614684	supercritical
275.822835	1.72000000	1.49608134	0.668412855	2469.66425	3619.33436	40.5669594	10.0987738	14.2641000	1281.07169	-0.263172416	8.44729051	0.176935861	supercritical
276.466240	1.72000000	1.49261915	0.669963265	2476.17609	3628.51290	40.6001976	10.1019687	14.2670361	1282.47692	-0.264554008	8.46081149	0.177256608	supercritical
277.109645	1.72000000	1.48917306	0.671513626	2482.68988	3637.69332	40.6333653	10.1051331	14.2699434	1283.88090	-0.265928077	8.47432305	0.177576927	supercritical
277.753050	1.72000000	1.48574294	0.673063941	2489.20562	3646.87560	40.6664628	10.1082671	14.2728224	1285.28363	-0.267294687	8.48782521	0.177896819	supercritical
278.396455	1.72000000	1.48232870	0.674614209	2495.72328	3656.05972	40.6994903	10.1113709	14.2756732	1286.68512	-0.268653898	8.50131801	0.178216286	supercritical
279.039860	1.72000000	1.47893021	0.676164430	2502.24285	3665.24567	40.7324482	10.1144449	14.2784959	1288.08536	-0.270005774	8.51480148	0.178535330	supercritical
279.683265	1.72000000	1.47554737	0.677714605	2508.76431	3674.43343	40.7653366	10.1174892	14.2812910	1289.48437	-0.271350374	8.52827565	0.178853953	supercritical
280.326670	1.72000000	1.47218006	0.679264734	2515.28763	3683.62298	40.7981559	10.1205041	14.2840584	1290.88214	-0.272687758	8.54174055	0.179172157	supercritical
280.970075	1.72000000	1.46882819	0.680814818	2521.81281	3692.81429	40.8309062	10.1234898	14.2867985	1292.27867	-0.274017987	8.55519622	0.179489943	supercritical
281.613480	1.72000000	1.46549165	0.682364857	2528.33981	3702.00736	40.8635878	10.1264465	14.2895115	1293.67398	-0.275341118	8.56864267	0.179807313	supercritical
282.256885	1.72000000	1.46217032	0.683914851	2534.86863	3711.20217	40.8962010	10.1293745	14.2921976	1295.06806	-0.276657209	8.58207995	0.180124270	supercritical
282.900290	1.72000000	1.45886412	0.685464801	2541.39924	3720.39870	40.9287461	10.1322740	14.2948570	1296.46091	-0.277966318	8.59550808	0.180440814	supercritical
283.543695	1.72000000	1.45557292	0.687014706	2547.93164	3729.59693	40.9612232	10.1351453	14.2974899	1297.85254	-0.279268501	8.60892710	0.180756949	supercritical
284.187100	1.72000000	1.45229663	0.688564568	2554.46579	3738.79685	40.9936326	10.1379884	14.3000965	1299.24295	-0.280563815	8.62233702	0.181072674	supercritical
284.830505	1.72000000	1.44903515	0.690114386	2561.00169	3747.99843	41.0259746	10.1408038	14.3026771	1300.63214	-0.281852315	8.63573789	0.181387993	supercritical
285.473910	1.72000000	1.44578837	0.691664161	2567.53931	3757.20167	41.0582495	10.1435916	14.3052317	1302.02012	-0.283134056	8.64912973	0.181702907	supercritical
286.117315	1.72000000	1.44255620	0.693213893	2574.07865	3766.40654	41.0904574	10.1463519	14.3077608	1303.40689	-0.284409092	8.66251257	0.182017418	supercritical
286.760720	1.72000000	1.43933854	0.694763583	2580.61967	3775.61304	41.1225986	10.1490852	14.3102643	1304.79246	-0.285677476	8.67588643	0.182331527	supercritical
287.404125	1.72000000	1.43613529	0.696313230	2587.16237	3784.82113	41.1546733	10.1517914	14.3127426	1306.17681	-0.286939262	8.68925136	0.182645237	supercritical
288.047530	1.72000000	1.43294635	0.697862835	2593.70673	3794.03081	41.1866819	10.1544710	14.3151959	1307.55997	-0.288194502	8.70260737	0.182958548	supercritical
288.690935	1.72000000	1.42977162	0.699412399	2600.25273	3803.24206	41.2186244	10.1571241	14.3176243	1308.94192	-0.289443247	8.71595450	0.183271464	supercritical
289.334340	1.72000000	1.42661102	0.700961922	2606.80036	3812.45487	41.2505013	10.1597508	14.3200281	1310.32267	-0.290685550	8.72929278	0.183583985	supercritical
289.977745	1.72000000	1.42346444	0.702511404	2613.34960	3821.66921	41.2823126	10.1623515	14.3224074	1311.70223	-0.291921460	8.74262222	0.183896114	supercritical
290.621150	1.72000000	1.42033179	0.704060844	2619.90043	3830.88508	41.3140587	10.1649264	14.3247625	1313.08060	-0.293151028	8.75594287	0.184207852	supercritical
291.264555	1.72000000	1.41721298	0.705610245	2626.45283	3840.10245	41.3457398	10.1674756	14.3270935	1314.45778	-0.294374303	8.76925475	0.184519200	supercritical
291.907960	1.72000000	1.41410792	0.707159605	2633.00680	3849.32132	41.3773560	10.1699993	14.3294006	1315.83377	-0.295591335	8.78255788	0.184830162	supercritical
292.551365	1.72000000	1.41101652	0.708708926	2639.56231	3858.54166	41.4089078	10.1724979	14.3316841	1317.20858	-0.296802172	8.79585229	0.185140737	supercritical
293.194770	1.72000000	1.40793868	0.710258207	2646.11935	3867.76347	41.4403952	10.1749714	14.3339442	1318.58221	-0.298006862	8.80913802	0.185450929	supercritical
293.838175	1.72000000	1.40487431	0.711807448	2652.67791	3876.98672	41.4718185	10.1774201	14.3361809	1319.95465	-0.299205452	8.82241509	0.185760739	supercritical
294.481580	1.72000000	1.40182334	0.713356651	2659.23797	3886.21141	41.5031779	10.1798442	14.3383946	1321.32592	-0.300397989	8.83568352	0.186070168	supercritical
295.124985	1.72000000	1.39878566	0.714905815	2665.79951	3895.43751	41.5344737	10.1822439	14.3405853	1322.69602	-0.301584520	8.84894335	0.186379218	supercritical
295.768390	1.72000000	1.39576119	0.716454941	2672.36251	3904.66501	41.5657061	10.1846194	14.3427534	1324.06494	-0.302765091	8.86219460	0.186687891	supercritical
296.411795	1.72000000	1.39274985	0.718004028	2678.92697	3913.89390	41.5968753	10.1869709	14.3448990	1325.43269	-0.303939747	8.87543730	0.186996189	supercritical
297.055200	1.72000000	1.38975154	0.719553078	2685.49287	3923.12416	41.6279815	10.1892986	14.3470222	1326.79928	-0.305108532	8.88867147	0.187304113	supercritical
297.698605	1.72000000	1.38676619	0.721102089	2692.06019	3932.35579	41.6590251	10.1916026	14.3491232	1328.16470	-0.306271493	8.90189714	0.187611665	supercritical
298.342010	1.72000000	1.38379371	0.722651064	2698.62893	3941.58876	41.6900061	10.1938833	14.3512024	1329.52896	-0.307428671	8.91511434	0.187918847	supercritical
298.985415	1.72000000	1.38083402	0.724200001	2705.19905	3950.82305	41.7209248	10.1961408	14.3532597	1330.89206	-0.308580112	8.92832309	0.188225661	supercritical
